complaint_id,complaint_text,category,sentiment,priority,language_ratio
CMP000001,"madam, parcels haurle bahut rough tarike se hote h still maine 2 baar complaint raise kiya but same canned reply mil rha h 399 rupaye ka order tha ab kya karu!!",Courier Experience,Negative,Medium,70% Hindi / 30% English
CMP000002,"hello,  customer care par call kiya but koi response nahi still detaails me bola tha original quality, par aisa laga local copy h plzz resolve this",Customer Support,Negative,High,70% Hindi / 30% English
CMP000003,"bhai,  reverse pickup schedule hua tha but no show 2499 rupaye ka order tha 😤 hope you understand",Return,Negative,High,65% Hindi / 35% English
CMP000004,"kindly check, mujhe Pune se order kiya tha UPI se pay kiya tha, money gaya aur confirmation fail ho gaya tracking id TRK2065818 jaldi fix kro...",Payment Issue,Negative,High,60% Hindi / 40% English
CMP000005,same tracking number pe multiple parcels dikh rahe hain aur delivery boy ne call bhi nahi kiya trackking id TRK4337174 jaldi fix kro,Fraud/Scam,Negative,Critical,50% Hindi / 50% English
CMP000006,"madam, wishlist suggestions irrelevant aa rahi hain but kisi ne update dene ki bhi zarurat nahi samjhi 2499 rupaye ka order tha tracking id TRK7264956 order no 426858 😒 plzz resolve this??",Wishlist,Neutral,Medium,35% Hindi / 65% English
CMP000007,"hello, mujhe Delhi se order kiya tha overall experience bahut inconsistent raha but chat support me sirf bot hi bot hai, koi live agent nahi 999 rupaye ka order tha hope you understaur...",Other,Negative,Medium,50% Hindi / 50% English
CMP000008,"team,  mujhe Lucknow se order kiya tha shipment TRK7728339 abhi tak move hi nahi hua aur delivery boy ne call bhi nahi kiya tracking id TRK7728339 🤦 waiting for reply",Delivery Delay,Negative,Medium,70% Hindi / 30% English
CMP000009,"kindly check, mujhe Gurgaon se order kiya tha checkout pe error aaya, twice attempt kiya aur dono baar problem hua 1999 rupaye ka order tha hope you understand",Payment Issue,Negative,High,60% Hindi / 40% English
CMP000010,"kindly  check, filter apply karne ke baad bhi same products dikhte hain tab bhi kisi ne update dene ki bhi zarurat nahi samjhi 399 rupaye ka order tha need immediate help??",Search/Filter,Negative,Low,35% Hindi / 65% English
CMP000011,old item bheja aur naya wala delay kar diya aur kisi ne update dene ki bhi zarurat nahi samjhi 199 rupaye ka order tha tracking id TRK6596150 thanks but no thanks!!,Exchange,Negative,Medium,55% Hindi / 45% English
CMP000012,"dear  team, app frequently lag kar rahi hai tab bhi app pe jo dikhaya gaya tha wo reality se match nahi karta 399 rupaye ka order tha order no 750810 isko seriously lo?",App Performance,Negative,Medium,25% Hindi / 75% English
CMP000013,"bhai, amount 1499 cut hua but transaction history me mismatch hai plzz resolve this",Payment Issue,Negative,Critical,50% Hindi / 50% English
CMP000014,"hello, MRP aur billed amount me difference hai aur parcel ka status 48 ghante se same hai isko seriously lo...",Price Mismatch,Negative,High,45% Hindi / 55% English
CMP000015,"yrr, promo code invalid bol rha h though code sahi tha 499 rupaye ka order tha 🥲 waiting for reply...",Coupon Issue,Negative,Low,45% Hindi / 55% English
CMP000016,"kindly  check, otp aa hi nahi raha but kisi ne update dene ki bhi zarurat nahi samjhi 1299 rupaye ka order tha isko seriously lo!!",Account/Login,Negative,Medium,30% Hindi / 70% English
CMP000017,"urgent, pickup boy aaya hi nahi aur request cancel ho gayi aur order summary aur actual item me mismatch hai jaldi fix kro",Return,Negative,Critical,55% Hindi / 45% English
