text,category,urgency,source
App crash ho rahi hai payment ke time. Ref TRK5614226.,App_Bug,Medium,App
"Maine headphones order kiye the, wallet deliver kar diya. Order ORD131244.",Wrong_Product,Medium,Call
Original bola tha lekin duplicate nikla. Seller response bhi nahi de raha.,Seller_Fraud,High,Email
"Tracking TRK7022674 update nahi ho raha, delivery date cross ho gayi. Seller bhi reply nahi kar raha.",Order_Not_Delivered,Medium,App
Amount debit hua lekin confirmation nahi aaya.,Payment_Issue,High,Website
App crash ho rahi hai payment ke time. Ref TRK4823498.,App_Bug,Low,Call
3 baar complaint ki but koi proper response nahi mila. Seller bhi reply nahi kar raha.,Customer_Service,Medium,Website
"Maine headphones order kiye the, wallet deliver kar diya. Order ORD271339.",Wrong_Product,High,Email
Promised date se 8 din late deliver hua. Support ko contact kiya but koi update nahi.,Late_Delivery,Low,Email
Original bola tha lekin duplicate nikla. Seller response bhi nahi de raha. Refund bhi abhi tak process nahi hua.,Seller_Fraud,Medium,Call
Refund 10 din se pending hai. Seller bhi reply nahi kar raha.,Refund_Return,Low,Website
Login karte hi something went wrong error aa raha hai.,App_Bug,Medium,App
App crash ho rahi hai payment ke time. Ref TRK5476583. App me tracking bhi galat show ho rahi hai.,App_Bug,High,App
Amount debit hua lekin confirmation nahi aaya. Support ko contact kiya but koi update nahi.,Payment_Issue,High,Website
"Maine headphones order kiye the, wallet deliver kar diya. Order ORD728038.",Wrong_Product,Low,Email
Seller ne fake product bhej diya aur return bhi reject kar diya. Order ORD694916.,Seller_Fraud,Medium,Website
Original bola tha lekin duplicate nikla. Seller response bhi nahi de raha.,Seller_Fraud,High,Website
Login karte hi something went wrong error aa raha hai. Support ko contact kiya but koi update nahi.,App_Bug,High,App
"Maine headphones order kiye the, wallet deliver kar diya. Order ORD717024. Seller bhi reply nahi kar raha.",Wrong_Product,Low,Email
"Order ORD392004 ko 4 din ho gaye, status out for delivery pe hi atka hai, parcel abhi tak nahi mila.",Order_Not_Delivered,Low,Call
Original bola tha lekin duplicate nikla. Seller response bhi nahi de raha.,Seller_Fraud,High,Call
Invoice me extra charge add ho gaya. Order ORD806073.,Billing_Invoice,High,Website
Original bola tha lekin duplicate nikla. Seller response bhi nahi de raha. Seller bhi reply nahi kar raha.,Seller_Fraud,Medium,App
"Order ORD197793 ko 9 din ho gaye, status out for delivery pe hi atka hai, parcel abhi tak nahi mila.",Order_Not_Delivered,Low,App
Seller ne fake product bhej diya aur return bhi reject kar diya. Order ORD509386.,Seller_Fraud,Low,Call
Original bola tha lekin duplicate nikla. Seller response bhi nahi de raha.,Seller_Fraud,High,Call
"Maine headphones order kiye the, wallet deliver kar diya. Order ORD159642.",Wrong_Product,Medium,Website
Invoice me extra charge add ho gaya. Order ORD707040.,Billing_Invoice,Medium,Email
Return approve hua but pickup schedule nahi ho raha. Invoice INV350280. Refund bhi abhi tak process nahi hua.,Refund_Return,Medium,App
"Order ORD176819 ko 4 din ho gaye, status out for delivery pe hi atka hai, parcel abhi tak nahi mila.",Order_Not_Delivered,Low,Website
Invoice me extra charge add ho gaya. Order ORD559469. Refund bhi abhi tak process nahi hua.,Billing_Invoice,Low,App
Return approve hua but pickup schedule nahi ho raha. Invoice INV212235. Support ko contact kiya but koi update nahi.,Refund_Return,Medium,Website
Login karte hi something went wrong error aa raha hai.,App_Bug,Medium,App
"Order ORD768061 ko 10 din ho gaye, status out for delivery pe hi atka hai, parcel abhi tak nahi mila.",Order_Not_Delivered,Medium,App
"Order ORD672092 ko 11 din ho gaye, status out for delivery pe hi atka hai, parcel abhi tak nahi mila.",Order_Not_Delivered,High,App
Customer support sirf ticket close kar raha hai without solution. Ref ORD475190. App me tracking bhi galat show ho rahi hai.,Customer_Service,Low,Website
Return approve hua but pickup schedule nahi ho raha. Invoice INV532322.,Refund_Return,High,Call
Box kholte hi product broken nikla. Order ORD379766.,Damaged_Product,Low,Website
Original bola tha lekin duplicate nikla. Seller response bhi nahi de raha. Support ko contact kiya but koi update nahi.,Seller_Fraud,High,Email
Express delivery li thi fir bhi delay hua.,Late_Delivery,High,Email
Original bola tha lekin duplicate nikla. Seller response bhi nahi de raha.,Seller_Fraud,High,App
Invoice me extra charge add ho gaya. Order ORD367095.,Billing_Invoice,Medium,Website
Customer support sirf ticket close kar raha hai without solution. Ref ORD796503.,Customer_Service,Medium,Email
Completely different product receive hua. App me tracking bhi galat show ho rahi hai.,Wrong_Product,Medium,Call
App crash ho rahi hai payment ke time. Ref TRK6049101.,App_Bug,High,Email
Discount apply hua tha par final bill me reflect nahi hua.,Billing_Invoice,High,Email
"Order ORD805477 ko 4 din ho gaye, status out for delivery pe hi atka hai, parcel abhi tak nahi mila. Support ko contact kiya but koi update nahi.",Order_Not_Delivered,Low,App
Invoice me extra charge add ho gaya. Order ORD853240. Seller bhi reply nahi kar raha.,Billing_Invoice,Low,App
Box kholte hi product broken nikla. Order ORD284430. Seller bhi reply nahi kar raha.,Damaged_Product,Medium,Call
Login karte hi something went wrong error aa raha hai.,App_Bug,Medium,Website
Screen cracked thi delivery ke time. App me tracking bhi galat show ho rahi hai.,Damaged_Product,Medium,Email
