text,category,urgency,is_synthetic
Delivery 2 din se delay hai! bahot URGENT!,Delivery_Issue,High,True
Invoice 7 din se generate nahi ho raha! URGENT!,Payment_Invoice,High,True
App bohot din se not responding hai! BAHUT URGENT!,Account_Technical,High,True
"Refund amount galat aaya hai, ₹3000 instead of ₹1800",Returns_Refunds,Medium,True
Product toot gaya hai! Completely unusable hai! URGENT!,Wrong_Damaged_Product,High,True
Return reject kar diya bina reason ke,Returns_Refunds,Medium,True
"Return ke baad product wapas nahee bhej pa raha, help karo",Returns_Refunds,Medium,True
Delivery ke baad product check kaise karu?,Delivery_Issue,Low,True
Payment gateway pe amount stuck hai! very urgent!,Payment_Invoice,High,True
"Electrical wire exposed h, shock lag sakta tha. Sell karna band karo and escalate immediately.",Wrong_Damaged_Product,High,False
Login credentials halted dikha raha hai,Account_Technical,Medium,True
App cache clear karne sey orders delete to nahi honge?,Account_Technical,Low,False
Refund status check kaise karu? Koi option nahi! turant resolve karo!,Returns_Refunds,High,True
acconut me kya kya update kar sakte hai?,Account_Technical,Low,True
Order confirm hone ke baad delivry date change ho gayi,Order_Status,Medium,True
Order status me kya dikha raha hai?,Order_Status,Low,True
App ka latest version kaunsa h?,Account_Technical,Low,False
"Account showing error hai, KYC verify nahin ho raha",Account_Technical,Medium,True
"Delivery ke baad product missing hai, empty box aaya",Delivery_Issue,Medium,True
Exchange item kab dispatch hoga??,Returns_Refunds,Low,False
"delievery ek mahina ho rahi hai, pehle parson sey hoti thi",Delivery_Issue,Medium,True
Baby product damaged aur unsafe condition me aya!!! Immediate pickup arrange karo.,Wrong_Damaged_Product,High,False
Product bent ho gaya hai! emergency hai! Immediate action lo!,Wrong_Damaged_Product,High,True
"Delivery 2 din ho rahi hai, pehle pehle se hoti thi",Delivery_Issue,Medium,True
Product ka outer box dented h but item working hai.,Wrong_Damaged_Product,Low,False
"Invoice value manipulated lag rahi hai, ₹4,500 extra tax add hai. Urgent audit kro.",Payment_Invoice,High,False
"Ordered item se different model aaya h, next step bata do.",Wrong_Damaged_Product,Low,False
Order place karne ke baad phone number change ho sakta hai kya?,Order_Status,Low,True
"Order status stuck hai, bahut der ho gayi! Mera paisa wapas karo!",Order_Status,High,True
"Account halted hai, KYC verify nahi ho raha",Account_Technical,Medium,True
"Stats me processing aa raha hai, normally kitna time lagta hai?",Order_Status,Low,False
Received prodct ka design listing se alag hai.,Wrong_Damaged_Product,Low,False
Invoice amount galat hai! critical hai! Recalculate karo!,Payment_Invoice,High,True
Delivery instructions diye the but follow nahi hue,Delivery_Issue,Low,True
"Mera order incomplete hai, kiya karu?",Wrong_Damaged_Product,Low,True
Agent extra cash demand kar raha tha despite prepaid order..,Delivery_Issue,Medium,False
retrn request approve karo! Item cracked he hai! TURANT!,Returns_Refunds,High,True
Return item ka refund nahi mil raha! abhi karo!,Returns_Refunds,High,True
Login halted hai! Password sahi hai! emergency hai!,Account_Technical,High,True
Bank ne confirm kiya refund initiate hi nai hua. Aaj resolve kro!,Returns_Refunds,High,False
Promised date nikal gayi but parcel abi tak deliver nhi hua.,Delivery_Issue,Medium,False
Trackng number kaha milega? Mje status dekhna hai.,Order_Status,Low,False
Agent ne item le liya aur status cancelled kar diya!!! Police complaint karunga..,Returns_Refunds,High,False
"Mera order 5 din se stuck hai! URGENT hai, turant resolve karo!",Order_Status,High,True
Headphones ka left side kaam nhi kar raha from first use..,Wrong_Damaged_Product,Medium,False
"Medicine ka wrong dosage bheja hai, dangerous hai. Turantt correct item bhejo.",Wrong_Damaged_Product,High,False
"ordr tracking not responding hai, koi batao kya ho raha hai",Order_Status,Medium,True
Refund ke liye koi charge he kya?,Returns_Refunds,Low,True
Wrong item ka kya karu?,Wrong_Damaged_Product,Low,True
"acount verify nahi ho raha, 5 din se pending hai",Account_Technical,Medium,True
"Invoice not responding hai, correct invoice bhejo",Payment_Invoice,Medium,True
"Password reset link not working hai, naya password set nahi ho raha",Account_Technical,Medium,True
Payment screen freeze hui n amount deducted. Technical + finance team ko abhi involve karo.,Account_Technical,High,False
"Return ke baad product vapas nahin bhej pa raha, help karo",Returns_Refunds,Medium,True
Return window app issue ki wajah se expire ho gayi..,Returns_Refunds,Medium,False
OTP share nahi kiya phir bhi order place ho gaya. Acount block karo!,Account_Technical,High,False
App 7 din se stuck hai! BAHUT URGENT!,Account_Technical,High,True
Agent ne OTP maanga but parcel handover nai kiya.,Delivery_Issue,Medium,False
ITEM COMPLETELY FAKE h!!! Refund immediately warna legal action lunga.,Wrong_Damaged_Product,High,False
Account me kya kya options hai?,Account_Technical,Low,True
Tracking number fake aa raha hai!!! Refund ya real status abi do.,Order_Status,High,False
Order late hai aur new expected date bhi clear nhi hai.,Delivery_Issue,Medium,False
Delivery boy rude tha! MANAGER SE BAAT KARO! fatafat!,Delivery_Issue,High,True
Gift ordr retrn kru to sender ko notification jayega?,Returns_Refunds,Low,False
Return request kaafi din pe ki thi! please jaldi! Koi response nahi!,Returns_Refunds,High,True
Return item ko kaise pack karu?,Returns_Refunds,Low,True
Return item ko kaise pack karu?,Returns_Refunds,Low,True
acconut me kya kya update kar sakte hai?,Account_Technical,Low,True
Cash on delivery me exact cash chaiye?,Payment_Invoice,Low,False
Delivery ke liye koi extra charge he kya?,Delivery_Issue,Low,True
"Courier tracking invalid bata raha h, correct number bhejo.",Order_Status,Medium,False
Delivery ke baad product ka status kaise check karu?,Delivery_Issue,Low,True
App not responding hai! Data load nahi ho raha! URGENT!,Account_Technical,High,True
payement usually kitne din me confirm hota hai?,Payment_Invoice,Low,True
Return pickup ke time box zaroori hai kyaa?,Returns_Refunds,Low,False
"Item pasand nahi aaya, retrn ka process bata do.",Returns_Refunds,Low,False
Profile name kaise change karu?,Account_Technical,Low,True
Seller threatening mein to cancel complaint. Full refund NOW.,Returns_Refunds,High,False
"Return request reject without inspection, please reopen",Returns_Refunds,Medium,True
Wrong GST invoice ki wajah se company filing ruk gayi hai. corect it TODAY.,Payment_Invoice,High,False
OTP stuck hai but verify nahee ho raha,Account_Technical,Medium,True
The prodct has water damage and does not turn on.,Wrong_Damaged_Product,Medium,False
"My order is marked delivered and ₹9,999 is at risk. Resolve this immediatly.",Delivery_Issue,High,False
Kia parcel lost hai? Kaafi time se koi scan update nahi hua.,Order_Status,Medium,False
Paise le liye aur order trace nahi horha. Aaj resolve nahi hua to complaint raise karunga.,Order_Status,High,False
"Package dent pada hai hai, abbi karo! TURANT REPLACE KARO!",Delivery_Issue,High,True
Order cancel karne ka option nahi aa raha,Order_Status,Medium,True
Invoice me extra charges lagaye hai! fatafat! Remove karo!,Payment_Invoice,High,True
Payment 3 din sey pending hai! fatafat!,Payment_Invoice,High,True
Password reset link attacker ke email pe ja raha h. This is serious fraud.,Account_Technical,High,False
"Order me wrong product aaya hai, plss check karo",Wrong_Damaged_Product,Medium,True
"Order delivered wrng item, exchange karo please",Wrong_Damaged_Product,Medium,True
Delivery 3 din se pending hai! Koi action nahi le raha!,Delivery_Issue,High,True
"Lift nhi hai, pkg door tak la denge kyaa?",Delivery_Issue,Low,False
Login kaise karu?,Account_Technical,Low,True
"Mera order missing items hai, refund kaise lunga?",Wrong_Damaged_Product,Low,True
OTP kaise resend karu?,Account_Technical,Low,True
"Parcl kis city me hai abhi, pata chal sakta hai?",Order_Status,Low,False
I WILL REPORT THIS DATA BREACH if my account iz not secured right now.,Account_Technical,High,False
"Account security issu hai, someone else is logging in",Account_Technical,Medium,True
Payment showing error hai but confirmation nai mila! URGENT!,Payment_Invoice,High,True
"Unknown device se access alert mla, logout all sessions right now!",Account_Technical,High,False
Return request bahut din pe ki thi but ab tak koi upadte nahi,Returns_Refunds,Medium,True
Ek phone number sey two accounts use ho sakte hain?,Account_Technical,Low,False
Invoice ke liye koi charge hai kya?,Payment_Invoice,Low,True
Order place kiya tha but abhi tak failed,Order_Status,Medium,True
Delivery person ne OTP maanga but maine diya nahi,Delivery_Issue,Medium,True
Order delivered dikh raha he but mujhe kuch nahin mila,Order_Status,Medium,True
Item pickup ho chuka hai but refund abi initiate nai hua.,Returns_Refunds,Medium,False
"App crash ho raha hai, 3 din sey bar bar ho raha hai",Account_Technical,Medium,True
Delivery ke liye kya kya kar sakta hu?,Delivery_Issue,Low,True
Payment methods kyaa kya hai?,Payment_Invoice,Low,True
"Order tracking stopped hai, IMMEDIATELY fix kro warna consumer forum me complaint karunga!",Order_Status,High,True
Order cancel karne ka option nahee aa raha,Order_Status,Medium,True
Return window kitne din ka hota h?,Returns_Refunds,Low,False
refound ke liye kya kya steps hai?,Wrong_Damaged_Product,Low,True
Muje sirf ordr tracking details chahiye..,Order_Status,Low,False
"Order confirm nahee ho raha, ek mahina se try kar raha hu! ESCALATE KARO!",Order_Status,High,True
Delivery ke baad product ka status kaise check karu?,Delivery_Issue,Low,True
Ordr history suddenly empty dikha rahi hai.,Account_Technical,Medium,False
Order failed hai but koi response nahi! jldi karo!,Order_Status,High,True
Product return karne ka option kahan hai?,Wrong_Damaged_Product,Low,True
payement 10 din pay ki thi but abhi tak order confirm nahee hua,Payment_Invoice,Medium,True
Maine medium order kiya tha but large receive hua..,Wrong_Damaged_Product,Low,False
Delivery slot repeatedly change ho raha h without asking me.,Delivery_Issue,Medium,False
delievery 2 din sey pending hai! Koi action nahi le raha!,Delivery_Issue,High,True
"retrn item deliver ho chuka hai, refound process start karoo",Returns_Refunds,Medium,True
Product retrn karne ke baad kya hota hai?,Wrong_Damaged_Product,Low,True
"App disabled ho raha hai, 10 din se use nahi ho raha",Account_Technical,Medium,True
"Account verify nahi ho raha, kaafi din se pending hai",Account_Technical,Medium,True
retrn item vapas bhej diya! Refund kab aayega? URGENT!,Returns_Refunds,High,True
"Profile update nai ho raha, failed hai form",Account_Technical,Medium,True
"App retrn eligible bolta hai, request submit karte waqt error aata hai.",Returns_Refunds,Medium,False
"Order status stopped hai, immediately! Mera paisa wapas karo!",Order_Status,High,True
Delivery address change kar sakte hai kya?,Delivery_Issue,Low,True
"Hello, order expected date kia hai?",Order_Status,Low,False
Account automaticaly logout ho jata hai every few minutes.,Account_Technical,Medium,False
App me language setting kaha change hoti h?,Account_Technical,Low,False
"doo mahine ho gaye, ab bhi 'processing'??? Legal notice bhejunga.",Returns_Refunds,High,False
Coupon section load nai hota on both Wi-Fi and mobile data.,Account_Technical,Medium,False
Dmgd product pickup nahi kar rahe aur retrn window close ho rahi. URGENTTT.,Returns_Refunds,High,False
"Tax invoice seller ke naam se nahin, kisi aur entity ke naam se hai.",Payment_Invoice,Medium,False
paymnt not responding hai but confirmation nahi mila! URGENT!,Payment_Invoice,High,True
This refnd delay is causing money loss. Senior manger call me today.,Returns_Refunds,High,False
"ordr 18 items ka hai, sab ek saath aayenge kya?",Order_Status,Low,True
"ordr tracking halted hai, koi batao kya ho raha hai",Order_Status,Medium,True
OTP disabled hai but verify nahi ho raha! right now!,Account_Technical,High,True
