text,category,urgency
"Prodct battery swollen hai, fire hazard ho sakta hai! urgenttt pickup..",Wrong_Damaged_Product,High
"₹18,500 kaa item missing parts ke saath bheja. Immediate full refund do.",Wrong_Damaged_Product,High
Delivry person rude tha aur package security pe fek ke chala gaya.,Delivery_Issue,Medium
Refund usually kitne working days leta h?,Returns_Refunds,Low
Return reject kar diya bina inspection k. Reopen it RIGHT NOW.,Returns_Refunds,High
Payment receipt PDF me mil sakti h?,Payment_Invoice,Low
Profile name edit kar sakta hu??,Account_Technical,Low
Delivery promise tod diya aur stats bhi update nai. MANAGER SE CONNECT KARO.,Order_Status,High
My account iz locked without any explanation.,Account_Technical,Medium
Status delivered hai but CCTV me koi courier nhi aaya. URGENT resolve karo.,Delivery_Issue,High
Agent ne OTP maanga but parcel handover nai kiya.,Delivery_Issue,Medium
"Electronic item duplicate jaisa lag raha hai, serial verify nai ho raha.",Wrong_Damaged_Product,Medium
"The rider marked delivered, but nothing was handed to mein.",Delivery_Issue,Medium
Kia delivry date ek din postpone ho sakti hai?,Delivery_Issue,Low
"Refund completed bolke jhooth mat bolo, account me zero credit h!!!",Returns_Refunds,High
COD ordr ka refnd bank me kaise milega?,Returns_Refunds,Low
"Mera paisa double block hai, refnd TODAY chahiye warna consumer court jaunga.",Returns_Refunds,High
"₹20,000 kaa prepaid parcel kisi aur ko de diya!!! Immediate investigation karo.",Delivery_Issue,High
App checkout page pe crash horhi hai.,Account_Technical,Medium
DELIVRY BOY NE PARCEL DELIVERED MARK KAR DIYA BUT MUJHE MILA HI NAHI!!!,Delivery_Issue,High
cn I reschedule delivery for Saturday?,Delivery_Issue,Low
Refund trackng kaha dikhegi app me?,Returns_Refunds,Low
Mera item eligible for return h ya nahi check kar do.,Returns_Refunds,Low
Return window app issue ki wajah se expire ho gayi..,Returns_Refunds,Medium
Package doorstep delivry tha but pickup point pe collect karne bola.,Delivery_Issue,Medium
"doo mahine ho gaye, ab bhi 'processing'??? Legal notice bhejunga.",Returns_Refunds,High
"Refund promised date cross ho gayi, amount account me nahin hai.",Returns_Refunds,Medium
"Payment gateway ne amount freeze kar diya, medical purchase urgent h!",Payment_Invoice,High
Seller is asking me to close the retrn before replacement.,Returns_Refunds,Medium
Cash diya tha delivery boy ko but app unpaid dikha raha!!! Resolve fraud issue now..,Payment_Invoice,High
OTP share nahi kiya phir bhi order place ho gaya. Acount block karo!,Account_Technical,High
Trackng me destination reached hai but delivery date nahii mili.,Order_Status,Medium
"Sealed box me product missing tha, sirf charger mila. ₹30,000 ka fraud h!",Wrong_Damaged_Product,High
Cosmetic bottle half empty receive hui..,Wrong_Damaged_Product,Medium
UPI transaction complete h but app payment maang raha again. I will not pay twice!,Payment_Invoice,High
Invoice amount aur bank debit amount match nahi kar rahe..,Payment_Invoice,Medium
"OTP aa hi nahi raha, multiple times resend try kiya..",Account_Technical,Medium
Dispatch message mil gaya tha par uske baad koi movement nahiii hai.,Order_Status,Medium
"Courier wale ne gate tak aane se mana kar diya, plz check.",Delivery_Issue,Medium
Seller threatening mein to cancel complaint. Full refund NOW.,Returns_Refunds,High
Tax amount kaa calculation explain kar do.,Payment_Invoice,Low
TV screen cracked hai aur delivery agent bol raha accept kar liya to kuch nahin hoga. manger connect karo!,Wrong_Damaged_Product,High
"Muje abhi ke abhi status chahie, travel se pehle package lena zaroori hai!",Order_Status,High
Same order k liye card twice charge hua.,Payment_Invoice,Medium
Dmgd product pickup nahi kar rahe aur retrn window close ho rahi. URGENTTT.,Returns_Refunds,High
"Tracking page blank aa raha hai, support se exact location bta do.",Order_Status,Medium
"Pickup date reschedule karni hai, kaise kru?",Returns_Refunds,Low
"Mujhe blue kii jagah black color mila, exchange kaise hoga?",Wrong_Damaged_Product,Low
"Return pickup doo baar cancel hua, naya slot arrange karo.",Returns_Refunds,Medium
Order dashboard aur SMS me alag-alag status aa raha h.,Order_Status,Medium
"Tax invoice aaj filing k liye chahiye, URGENTLY corrected PDF bhejo.",Payment_Invoice,High
"Pkg wrong hub me chala gaya, isliye delivry delay ho rahi hai.",Delivery_Issue,Medium
"Paymnt failed but ₹32,000 kat gaye. Urgently reverse karo!",Payment_Invoice,High
Delivery agent usually kis time tak aata h?,Delivery_Issue,Low
Order late hai aur new expected date bhi clear nhi hai.,Delivery_Issue,Medium
"Hello, order expected date kia hai?",Order_Status,Low
Retrn request baar baar auto-cancel ho rahi hai.,Returns_Refunds,Medium
Morning delivery possible hai kia?,Delivery_Issue,Low
recieved item already registered in someone else's name. This is serious fraud!,Wrong_Damaged_Product,High
Bank ne confirm kiya refund initiate hi nai hua. Aaj resolve kro!,Returns_Refunds,High
"Mera original order costly tha, cheap duplicate bhej diya. Refund TODAY..",Wrong_Damaged_Product,High
Mere area me parcel aa gaya phir bhi three days se deliver nahin hua.,Delivery_Issue,Medium
OTP aaraha hai but enter karte hi incorrect bolta hai.,Account_Technical,Medium
I WILL REPORT THIS DATA BREACH if my account iz not secured right now.,Account_Technical,High
Address me landmark add krna hai delivery se pehle.,Delivery_Issue,Low
Delivery boy bina call kiye attempt failed mark karke chala gaya..,Delivery_Issue,Medium
The prodct has water damage and does not turn on.,Wrong_Damaged_Product,Medium
Kia parcel lost hai? Kaafi time se koi scan update nahi hua.,Order_Status,Medium
"medecine delivery two days late hai, patient ko urgently chahie!",Delivery_Issue,High
Order ka live status available hai kia?,Order_Status,Low
Cash on delivery me exact cash chaiye?,Payment_Invoice,Low
"RETURN WINDOW APP ERROR SE EXPIRE HUI. Meri galti nahin, abhi approve karo!",Returns_Refunds,High
Coupon section load nai hota on both Wi-Fi and mobile data.,Account_Technical,Medium
"INVOICE ME FAKE GSTIN h!!! Legal issue hai, senior team contact kare.",Payment_Invoice,High
Package properly sealed tha but andar glass shattered tha..,Wrong_Damaged_Product,Medium
Business invoice me legal name update karna h.,Payment_Invoice,Low
App cache clear karne sey orders delete to nahi honge?,Account_Technical,Low
Can I pay using two diffrent methods?,Payment_Invoice,Low
Invoice me company name add krna hai.,Payment_Invoice,Low
UPI paymnt success screenshot hai but app failed dikha raha.,Payment_Invoice,Medium
Agent wrong address pe gaya aur mje blame kar raha hai. Manager call kare abhi.,Delivery_Issue,High
Promo discount checkout pe tha but payment k baad remove ho gaya.,Payment_Invoice,Medium
"Bank referance number share nai hua, refund trace nai kar pa raha.",Returns_Refunds,Medium
Customer support chat open kaise hota h?,Account_Technical,Low
